timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389692876,3,Sign In,200,OK,Thread Group 1-10,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,3,0,0
1685389692984,2,Main Catalog,200,OK,Thread Group 1-14,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389693001,6,Main Catalog,200,OK,Thread Group 1-15,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1685389693086,4,Sign In,200,OK,Thread Group 1-11,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,4,0,0
1685389693216,1,Main Catalog,200,OK,Thread Group 1-16,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693229,1,Home,200,OK,Thread Group 1-20,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389693229,1,Home-0,302,Found,Thread Group 1-20,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685389693230,0,Home-1,200,OK,Thread Group 1-20,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389693359,2,Login,200,OK,Thread Group 1-3,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693359,1,Login-0,302,Found,Thread Group 1-3,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685389693360,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693388,3,Sign Out,200,OK,Thread Group 1-23,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693388,1,Sign Out-0,302,Found,Thread Group 1-23,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685389693390,1,Sign Out-1,200,OK,Thread Group 1-23,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693427,4,Sign Out,200,OK,Thread Group 1-24,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389693427,2,Sign Out-0,302,Found,Thread Group 1-24,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685389693429,2,Sign Out-1,200,OK,Thread Group 1-24,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389693457,11,Login,200,OK,Thread Group 1-4,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389693457,2,Login-0,302,Found,Thread Group 1-4,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389693459,9,Login-1,200,OK,Thread Group 1-4,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1685389693548,2,Sign In,200,OK,Thread Group 1-13,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389693547,4,Main Catalog,200,OK,Thread Group 1-17,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685389693629,3,Home,200,OK,Thread Group 1-21,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1685389693629,2,Home-0,302,Found,Thread Group 1-21,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1685389693631,1,Home-1,200,OK,Thread Group 1-21,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389693635,6,Sign In,200,OK,Thread Group 1-12,text,true,,3925,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,6,0,0
1685389693682,5,Sign Out,200,OK,Thread Group 1-25,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389693682,1,Sign Out-0,302,Found,Thread Group 1-25,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685389693684,3,Sign Out-1,200,OK,Thread Group 1-25,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
